"k","root_k"
1,1
2,1.4142135623731
3,1.73205080756888
4,2
5,2.23606797749979
6,2.44948974278318
7,2.64575131106459
8,2.82842712474619
9,3
10,3.16227766016838
11,3.3166247903554
12,3.46410161513775
13,3.60555127546399
14,3.74165738677394
15,3.87298334620742
16,4
17,4.12310562561766
18,4.24264068711928
19,4.35889894354067
20,4.47213595499958
21,4.58257569495584
22,4.69041575982343
23,4.79583152331272
24,4.89897948556636
25,5
26,5.09901951359278
27,5.19615242270663
28,5.29150262212918
29,5.3851648071345
30,5.47722557505166
31,5.56776436283002
32,5.65685424949238
33,5.74456264653803
34,5.8309518948453
35,5.91607978309962
36,6
37,6.08276253029822
38,6.16441400296898
39,6.2449979983984
40,6.32455532033676
41,6.40312423743285
42,6.48074069840786
43,6.557438524302
44,6.6332495807108
45,6.70820393249937
46,6.78232998312527
47,6.85565460040104
48,6.92820323027551
49,7
50,7.07106781186548
